mmsi,length_m,width_m,draft_m,vessel_type,imo,n_obs,first_year,last_year
215226000,179.0,30.0,9.9,70.0,,1443,2021,2025
215228000,179.0,30.0,9.8,70.0,,667,2022,2023
215230000,294.0,32.0,11.4,70.0,,848,2021,2025
215240000,294.0,32.0,11.2,71.0,,1663,2021,2025
215249000,363.0,44.0,10.9,71.0,,1370,2022,2023
215251000,172.0,26.0,14.9,70.0,,2814,2019,2025
215280000,228.0,32.0,14.4,70.0,,98,2019,2019
215293000,334.0,42.0,12.5,71.0,,900,2020,2025
215295000,190.0,32.0,11.93,70.0,,477,2015,2015
215307000,249.0,44.0,12.0,80.0,,467,2020,2020
215312000,190.0,32.0,6.9,70.0,,459,2022,2022
215317000,187.0,30.0,10.8,70.0,,918,2019,2022
215322000,182.0,32.0,6.7,89.0,,1447,2022,2022
215331000,366.0,51.0,14.0,70.0,,1675,2021,2024
215346000,366.0,51.0,13.9,74.0,,2050,2022,2024
215347000,366.0,51.0,14.4,71.0,,2981,2021,2025
215352000,366.0,51.0,13.4,70.0,,336,2022,2024
215354000,365.0,51.0,14.1,71.0,,4591,2021,2025
215390000,195.0,32.0,13.0,70.0,,232,2022,2022
215391000,188.0,28.0,11.3,71.0,,1831,2016,2017
215401000,250.0,44.0,8.8,80.0,,471,2019,2019
215436000,180.0,26.0,7.7,81.0,,887,2021,2025
215438000,188.0,27.0,11.3,70.0,,2101,2018,2019
215454000,291.0,45.0,17.8,79.0,,200,2017,2017
215459000,154.0,21.0,,70.0,,939,2020,2020
215460000,122.0,19.0,4.9,80.0,,427,2020,2020
215464000,183.0,32.0,13.2,80.0,,1664,2018,2023
215470000,182.0,32.0,7.3,80.0,,375,2021,2021
215475000,190.0,32.0,10.8,70.0,,460,2022,2022
215478000,130.0,24.0,9.4,82.0,,506,2020,2022
215481000,174.0,28.0,7.2,83.0,,477,2015,2015
215485000,334.0,42.0,14.7,70.0,,2833,2015,2025
215487000,180.0,32.0,7.8,89.0,,500,2021,2024
215493000,300.0,48.0,10.9,71.0,,964,2021,2021
215497000,249.0,44.0,15.0,89.0,,836,2016,2016
215507000,157.0,7.0,,70.0,,63,2021,2021
215509000,250.0,44.0,11.8,80.0,,275,2022,2022
215535000,243.0,42.0,14.9,80.0,,584,2020,2020
215536000,190.0,28.0,11.1,70.0,,131,2025,2025
215539000,186.0,30.0,11.5,70.0,,222,2022,2022
