date,all_u_s_container_ports,los_angeles_long_beach,savannah,all_other_ports,days_included,low_0-50nm,low_50-150nm,low_150-300nm,low_total_0_300,movement_total_0_300
2022-10-18 00:00:00+00:00,77.0,7.0,29.0,41.0,7,724.5714285714286,83.28571428571429,80.28571428571429,888.1428571428571,481.2857142857143
2022-10-25 00:00:00+00:00,69.0,6.0,31.0,32.0,7,671.0,172.0,84.42857142857143,927.4285714285714,410.0
2022-11-01 00:00:00+00:00,77.0,5.0,25.0,47.0,7,633.5714285714286,213.71428571428572,28.0,875.2857142857143,373.7142857142857
2022-11-08 00:00:00+00:00,51.0,11.0,6.0,34.0,7,529.8571428571429,153.57142857142858,128.85714285714286,812.2857142857143,395.42857142857144
2022-11-15 00:00:00+00:00,59.0,6.0,30.0,23.0,7,629.7142857142857,147.85714285714286,129.28571428571428,906.8571428571429,346.57142857142856
2022-11-22 00:00:00+00:00,44.0,0.0,26.0,18.0,7,568.8571428571429,132.57142857142858,156.42857142857142,857.8571428571429,372.7142857142857
2022-11-29 00:00:00+00:00,47.0,0.0,24.0,23.0,7,568.5714285714286,101.71428571428571,141.28571428571428,811.5714285714286,395.0
2022-12-06 00:00:00+00:00,46.0,0.0,17.0,29.0,7,593.8571428571429,74.14285714285714,88.28571428571429,756.2857142857143,347.85714285714283
2022-12-13 00:00:00+00:00,46.0,0.0,18.0,28.0,7,697.2857142857143,116.0,122.85714285714286,936.1428571428571,390.0
2022-12-20 00:00:00+00:00,26.0,0.0,8.0,18.0,7,596.1428571428571,98.57142857142857,114.71428571428571,809.4285714285714,421.85714285714283
2022-12-27 00:00:00+00:00,37.0,0.0,9.0,28.0,7,646.0,111.0,87.0,844.0,364.14285714285717
2023-01-03 00:00:00+00:00,43.0,0.0,11.0,32.0,7,650.7142857142857,55.0,96.71428571428571,802.4285714285714,322.0
2023-01-10 00:00:00+00:00,37.0,2.0,7.0,28.0,7,691.1428571428571,117.14285714285714,134.57142857142858,942.8571428571429,368.2857142857143
2023-01-17 00:00:00+00:00,31.0,1.0,6.0,24.0,7,677.4285714285714,122.28571428571429,113.14285714285714,912.8571428571429,349.14285714285717
2023-01-24 00:00:00+00:00,22.0,5.0,2.0,15.0,7,771.4285714285714,115.0,116.71428571428571,1003.1428571428571,411.85714285714283
