Port,YearMonth,gap_threshold_h,MeanDwellDays_segmented,MedianDwellDays_segmented,UniqueCalls,UniqueVessels,correlation_with_primary_series
Savannah,2013-10,24,1.146877907496869,0.8848611111111111,207,205,0.4997382865118677
Savannah,2013-11,24,1.1508787744024813,0.8146064814814815,203,200,0.4997382865118677
Savannah,2013-12,24,1.1314340920781893,0.8413773148148148,180,178,0.4997382865118677
Savannah,2014-01,24,1.318803317535545,0.9454976851851852,211,206,0.4997382865118677
Savannah,2014-02,24,1.3008074845679012,1.005630787037037,180,180,0.4997382865118677
Savannah,2014-03,24,1.250492504409171,0.933420138888889,210,205,0.4997382865118677
Savannah,2014-04,24,1.2059945023148149,0.8559201388888888,200,191,0.4997382865118677
Savannah,2014-05,24,1.1264058474235106,0.8399884259259259,230,223,0.4997382865118677
Savannah,2014-06,24,1.2665003033980584,0.8430092592592593,206,204,0.4997382865118677
Savannah,2014-07,24,1.286401481052812,0.9058854166666667,216,213,0.4997382865118677
Savannah,2014-08,24,0.8425043875574922,0.7496296296296296,153,145,0.4997382865118677
Savannah,2014-10,24,0.0065451388888888885,0.0065451388888888885,2,2,0.4997382865118677
Savannah,2014-11,24,0.05042989417989418,0.010775462962962962,7,7,0.4997382865118677
Savannah,2014-12,24,1.3893393264840181,0.9955555555555555,219,216,0.4997382865118677
Savannah,2015-01,24,1.1570090037277536,0.922349537037037,154,147,0.4997382865118677
Savannah,2015-02,24,1.265516803840878,0.9728472222222222,135,128,0.4997382865118677
Savannah,2015-03,24,1.2162628353513771,1.0505844907407407,156,148,0.4997382865118677
Savannah,2015-04,24,1.1762864662607813,0.958304398148148,146,137,0.4997382865118677
Savannah,2015-05,24,1.2375200803212851,1.0032349537037037,166,161,0.4997382865118677
Savannah,2015-06,24,1.1702422288359788,0.9784317129629629,154,149,0.4997382865118677
Savannah,2015-07,24,1.05978209304984,0.8316435185185185,162,155,0.4997382865118677
Savannah,2015-08,24,1.111072270506703,0.8714930555555556,163,158,0.4997382865118677
Savannah,2015-09,24,1.0252858946608947,0.8284837962962963,154,151,0.4997382865118677
Savannah,2015-10,24,1.0921744970278922,0.8364351851851852,162,157,0.4997382865118677
Savannah,2015-11,24,0.9725652649176956,0.7911921296296296,144,136,0.4997382865118677
Savannah,2015-12,24,1.1567804654486702,0.880150462962963,149,142,0.4997382865118677
Savannah,2016-01,24,1.148145416379112,0.8671412037037037,161,152,0.4997382865118677
Savannah,2016-02,24,0.9656091820987655,0.82515625,90,88,0.4997382865118677
Savannah,2016-03,24,1.006091625644632,0.8099305555555556,79,76,0.4997382865118677
Savannah,2016-04,24,1.0613094486531987,0.8078472222222222,110,104,0.4997382865118677
Savannah,2016-05,24,1.0852531828703704,0.792974537037037,168,159,0.4997382865118677
Savannah,2016-06,24,1.0870483024691358,0.8167708333333333,150,143,0.4997382865118677
Savannah,2016-07,24,1.2227607924482924,0.90359375,154,145,0.4997382865118677
Savannah,2016-08,24,1.124648522603486,0.8335532407407408,136,129,0.4997382865118677
Savannah,2016-09,24,1.156110097323601,0.9286111111111112,137,131,0.4997382865118677
Savannah,2016-10,24,1.2251742869694513,0.9595717592592593,137,132,0.4997382865118677
Savannah,2016-11,24,1.1745476680384088,0.9616203703703704,135,128,0.4997382865118677
Savannah,2016-12,24,1.2824810043822448,0.9719444444444445,131,121,0.4997382865118677
Savannah,2017-01,24,1.1991713145231846,1.0749768518518519,127,119,0.4997382865118677
Savannah,2017-02,24,1.2700304064657877,1.0149479166666668,118,116,0.4997382865118677
Savannah,2017-03,24,1.136121821448314,0.9608506944444444,134,127,0.4997382865118677
Savannah,2017-04,24,1.1088418803418802,0.9470833333333333,130,125,0.4997382865118677
Savannah,2017-05,24,0.9714008033769064,0.7627719907407408,136,126,0.4997382865118677
Savannah,2017-06,24,1.0720267592592594,0.8074074074074075,125,116,0.4997382865118677
Savannah,2017-07,24,1.1894164094650206,0.8488425925925925,135,124,0.4997382865118677
Savannah,2017-08,24,1.1885992678725237,0.8905092592592593,129,121,0.4997382865118677
Savannah,2017-09,24,1.1565874136848713,0.8684085648148148,118,112,0.4997382865118677
Savannah,2017-10,24,1.115281550068587,0.9241782407407407,135,127,0.4997382865118677
Savannah,2017-11,24,1.2151310809817755,0.9486979166666667,126,123,0.4997382865118677
Savannah,2017-12,24,1.2113845621322257,1.0158333333333334,107,104,0.4997382865118677
Savannah,2018-01,24,1.4149728065444085,1.0391898148148149,206,201,0.4997382865118677
Savannah,2018-02,24,1.4464220679012347,1.1997511574074076,180,178,0.4997382865118677
Savannah,2018-03,24,1.254275674412393,0.9700289351851852,208,200,0.4997382865118677
Savannah,2018-04,24,1.2422365260307477,0.9587673611111112,212,208,0.4997382865118677
Savannah,2018-05,24,1.3275758866177498,1.0453935185185186,212,204,0.4997382865118677
Savannah,2018-06,24,1.2526300451092116,0.9850462962962963,195,188,0.4997382865118677
Savannah,2018-07,24,1.2611457193030469,0.9758217592592593,203,193,0.4997382865118677
Savannah,2018-08,24,1.1858339238473168,0.9630844907407408,196,188,0.4997382865118677
Savannah,2018-09,24,1.3602643824027072,0.9742824074074075,197,191,0.4997382865118677
Savannah,2018-10,24,1.2006158686953285,1.0036226851851853,199,197,0.4997382865118677
Savannah,2018-11,24,1.2958198409044404,1.0229282407407407,181,178,0.4997382865118677
Savannah,2018-12,24,1.3914436156835848,1.0170833333333333,162,161,0.4997382865118677
Savannah,2019-01,24,1.2769183039747063,1.0665277777777777,205,200,0.4997382865118677
Savannah,2019-02,24,1.530696056024379,1.1702372685185185,158,156,0.4997382865118677
Savannah,2019-03,24,1.2984551909422375,1.0847222222222221,193,190,0.4997382865118677
Savannah,2019-04,24,1.290550832801192,1.0158506944444445,174,170,0.4997382865118677
Savannah,2019-05,24,1.2778933413643236,0.9928125,196,189,0.4997382865118677
Savannah,2019-06,24,1.1722567460317461,0.9630555555555556,175,169,0.4997382865118677
Savannah,2019-07,24,1.2832427484882842,1.0148263888888889,196,187,0.4997382865118677
Savannah,2019-08,24,1.3049413234752165,0.9780555555555556,201,191,0.4997382865118677
Savannah,2019-09,24,1.1818474638787138,0.906556712962963,182,177,0.4997382865118677
